4096;Ctrl-Z
4099;The Falcons
4107;Team Storm
4112;EagleBots
4118;Roaring Riptide
4121;Viking  Robotics
4122;Ossining OBOTS
4123;Tribe Robotics
4125;Confidential
4130;The Blue Devils
4131;Iron Patriots
4135;Iron Patriots
4141;Monarch Robotics
4143;MARS/WARS
4145;WorBots
4146;Sabercats
4150;FRobotics
4152;Hoya Robotics
4153;Project Y
4156;Ninjaneers
4159;CardinalBotics
4160;The RoBucs
4166;Robostang
4169;Warrior Robotics
4171;BayBots
4173;Bark Bots
4174;Mustang Robotics
4175;Coded Summit
4176;Iron Tigers
4179;Tahisco Techs
4180;Iron Riders
4181;Quack Attack
4182;Viking Robotics
4183;Bit Buckets
4186;Alameda Aztechs Robotics
4188;Columbus Space Program
4189;Chargers
4191;IMC
4192;Jaguar Robotics
4198;RoboCats
4201;The Vitruvian Bots
4206;Robo Vikes
4207;PyroBotics
4213;MetalCow Robotics
4215;TRIBOTS
4216;Blue Ops Robotics
4219;RED!
4225;RoboCats
4226;Huskies
4229;Magnetech
4230;TopperBots
4237;Team Lance-A-Bot
4238;Resistance Robotics
4239;WARPSPEED
4240;TroTek Warriors
4253;Raid Zero
4255;Robodores
4256;Cyborg Cats
4260;BEAR (Blue Earth Area Robotics)
4265;Secret City Wildbots
4269;CardinalBots
4270;Crusaders
4272;Maverick Robotics
4276;Surf City Vikings
4277;Thingamajiggers
4285;Camo-Bots
4286;Imperial Robotics
4293;Komodo
4295;Hudson Stingers
4296;Trident Robotics
4299;BCS RoboSharks
4306;Robokomodos
4308;ABSOLUTE ROBOTICS
4311;Swampscott Currents
4314;Springfield Urban League Abe-Ro-Bots
4319;Ladies FIRST
4320;The Joker
4322;Clockwork
4325;RoboRangers
4327;Q Branch
4328;Furious Falcons
4329;Lutheran Roboteers
4330;Rambunction
4332;RoboCats
4336;Ramageddon Robotics
4338;Falcons
4342;Demon Robotics
4355;Samurai Code - Pe\u00f1oles - John Deere
4360;Spudnik
4361;Roxbotix
4362;Gems
4364;Metal Jackets
4371;Prepa Tecmilenio - ART
4375;Westend Gearbusters
4377;Boyne City Blaze
4381;Twisted Devils
4383;The P-TECH Fly-Bots
4384;Benzene Bots
4388;Ridgebotics
4390;ATA Coregears
4391;BraveBots
4392;The Deceivers
4395;Dundee Vi-Borgs
4398;Gladiators
4400;Cerbotics - Pe\u00f1oles
4401;CETMOV - Pe\u00f1oles
4403;PrepaTec - ROULT - Pe\u00f1oles
4405;The Atoms Family
4414;HighTide
4415;EPIC Robotz
4416;Skynet
4418;IMPULSE
4419;Team Rewind
4421;FORGE Robotics
4422;Twisted Angels
4423;MARS' Minions
4450;Olympia Robotics Federation
4451;ROBOTZ Garage
4453;The Red Hot Chili Bots
4455;The Burger Bots
4456;Mech Cadets
4458;Infernobotix
4459;LeoTechs
4464;Team Illusion
4467;Titanium Titans
4468;Fernbank LINKS
4469;R.A.I.D. (Raider Artificial Intelligence Division)
4470;TiGears
4472;SuperNOVA
4473;Delta Prime Robotics 4-H
4476;W.A.F.F.L.E.S.
4480;UC-Botics
4481;Team Rembrandts
4485;Tribe Tech Robotics
4488;Shockwave
4499;The Highlanders
4500;RoboHounds
4501;Humans
4504;B. C. Robotics
4505;McDonogh Robotics
4509;Mechanical Bulls
4511;Power Amplified
4512;Otter Chaos
4513;Circuit Breakers
4522;Team SCREAM
4523;MCROBO
4531;STEAMpunk
4533;Phoenix
4534;Wired Wizards
4536;MinuteBots
4539;KAOTIC Robotics
4541;CAVineers
4546;Shockwave
4550;Something's Bruin
4561;TerrorBytes
4564;Orange Chaos
4567;The Mechanized Mafia
4568;Robot Commander
4571;Rambots
4572;Barlow Robotics
4573;Rambotics
4575;Gemini
4576;Red Nation Robotics
4579;RoboEagles
4580;Conductors
4584;SentinelFox Engineering
4585;Husky Robotics
4586;PRIMO
4587;Jersey Voltage
4590;GreenBlitz
4593;Rapid Acceleration
4597;SABERBOTS
4598;ICARUS INNOVATED
4601;Circuit Birds
4603;Forza One - Pe\u00f1oles
4607;C.I.S.
4610;BearTecs
4611;OZone
4613;Barker Redbacks
4617;DAUN
4619;HawkBots
4622;CAT 5
4623;Flyer Robotics
4624;Rebel Alliance
4627;Manning Robotics
4628;Sintian Robotics
4630;Robodragons
4632;Monti-Pythons
4635;PrepaTec - Botbusters
4637;BambieBotz
4638;Jagbots
4639;The RoboSpartans
4641;TALON Inc.
4643;Butte Built Bots
4645;The Chicago Style BotDogs
4646;Wildcard Robotics
4652;Ironmen 2
4653;Ironmen Robotics
4655;Stateline Robotics
4656;Rock Solid Robotics
4661;Cypher
4662;Byte Sized Robotics
4663;Cyber Tigers
4664;Butler Bots
4669;Galileo Robotics
4674;RoboJacks
4678;CyberCavs
4680;AzTech Eagles
4682;CyBears
4687;Spartobots
4688;Saints Bot
4692;Metal Mallards
4693;Talk Nerdy to Me
4698;Raider Robotics
4701;Warriors (Team W.I.R.E.)
4702;Cyberdogz
4707;FORCE
4711;The Flying Aces
4717;Westerner Robotics
4723;Prepa Tecmilenio - EARTH - 4723
4728;ROCORI Robotics
4729;EMU Robotics
4730;Terminators
4731;MONARCH-E
4734;The Iron Plainsmen
4735;Prepa Tecmilenio - DEROF - Pe\u00f1oles
4737;Atomigators
4738;Patribots
4739;Normanhurst Nitro
4741;WingNuts
4744;Ninjas
4750;Bert
4758;RoboBlazers
4761;The Robockets
4764;The Memphis MechWarriors
4765;PWRUP
4766;Team SCREAM Jr.
4768;Cody \"The Green Comet\"
4774;The Drop Bears
4775;Aztech Robotics
4776;S.C.O.T.S. Bots
4778;Stormbots
4779;RoboSapiens
4782;PrepaTec - Borrebots
4786;Nicolet FEAR
4787;Axiom
4788;Can't Control
4795;Eastbots
4809;Black Knight Robotics
4810;I AM Robot
4816;Gadget Girls
4821;CyberUs
4827;Minerbotics
4828;RoboEagles
4829;Titanium Tigers
4835;Junkyard Dawgs
4838;Under Currents
4851;JungleBots
4854;Trobots
4855;Ramageddon
4859;The CyBears
4861;Beastbots
4862;Manning Mountaineers
4863;The Chicago Style BotPups
4864;INNovation Station
4904;Bot-Provoking
4905;Andromeda One
4907;Thunderstamps
4909;Bionics
4911;CyberKnights
4915;Spartronics
4917;Sir Lancerbot
4919;Team Ronin
4920;Belle River Boltheads
4925;The Resistance
4926;GalacTech
4930;Electric Mayhem
4931;Edwardsville Technologies
4935;T-Rex
4940;Knight Vision
4944;The Hi Fives
4946;The Alpha Dogs
4947;Fenix
4951;CDS Cyclones
4952;Les Carnicas
4955;LA Tech
4956;RoboSharks
4959;Staley Robotics
4961;Shock and Awe-sum
4964;Roosevelt Robotics
4967;That ONE Team-OurNextEngineers
4972;BORUSAN ROBOTICS
4973;Gator Gears
4976;Revolt Robotics
4977;Iron Lion
4980;Canine Crusaders
4982;Olympus Robotics
4983;IronBots
4984;Bullseye
4990;Basement Bots
4991;Horsepower
4994;Kingston Robo-Cards
4998;TESLA
4999;Momentum
5000;HAMMERHEADS
5002;Dragon Robotics
5010;Tiger Dynasty
5012;Gryffingear
5013;Trobots
5016;Huntington Robotics
5019;Gearbox Heroes
5024;Raider Robotics
5025;Pacific Steel
5026;Iron Panthers
5027;Event Horizon (5027)
5031;Full Metal Mustangs
5032;The Falcons
5036;The Robo Devils
5041;CyBears
5045;SpartaBot
5046;Jacked Up Jackets
5049;Minerbots
5050;Cow Town Robotics
5053;Lakers
5060;IgKnight
5065;Knights #5065
5066;Singularity
5067;Steiner Steel Storm
5070;Gearnotics
5071;Charger Robotics
5074;RoboMustangs
5084;Team FridgeBot
5086;Cadillac Connectors
5089;Robo-Nerds
5090;TorqueNados
5096;The Teutonic Force
5098;STING - R
5103;MECH&Cheese
5104;BreakerBots
5109;Gladiator Robotics
5110;Roboherd
5112;The Gongoliers
5113;Combustible Lemons
5114;Titanium Tigers
5115;Knight Riders
5119;Team STEAM
5123;Mechadogs
5124;West Torrance Robotics
5125;Hawks on the Horizon
5126;Electromagnetic Panthers (EMP)
5133;PrepaTec - Blue Steel
5135;Black Unicorns
5136;MechaPirates
5137;Iron Kodiaks
5141;GRIFFINITE
5142;RoboDominators
5143;Raw Steel
5144;LISD TECHnicians
5145;WolfBotics
5147;Hornets
5148;New Berlin Blitz
5149;TroyBotics
5150;Hybrid Hornets
5152;Alotobots
5160;Chargers
5162;The Big Red Theory
5166;Fabricators
5167;Vi-Bots
5171;Deus Ex Machina
5176;RoboBills
5181;Explorer Robotics
5182;Chieftainators
5183;Devil Bots
5188;Area 5188: Classified Robotics
5189;Team K.I.S.S.
5190;Falcon Fury
5193;Pantheon
5197;Northwestern High
5199;Robot Dolphins From Outer Space
5205;FullMetal-Jackets
5212;TAMSformers Robotics
5213;St. Ignace SHIELD
5214;The Mighty CavBots
5216;E-Ville Empire
5219;TeknoSquad 5219
5225;The Shambotz
5227;Eagle Elite
5229;Heritage Hawkbots
5231;The Radical Jays
5232;Talons
5234;Marauder Bots
5235;Gears of Fortune
5239;The Royal Stags
5243;Aegis
5247;Red Devil Robotics
5248;Robo-Saxons
5253;Bigfork Backwoods Bots 5253
5256;Atomics
5260;Owosso Robotics
5261;Cyber Shock
5263;Robo-Bucs
5268;The BioMech Falcons
5271;Open Circuits
5274;Wolverine Robotics
5275;T.I.M.E.-Bots
5276;Edgar Allan Ohms
5278;Los Clasicos
5282;Railroader Robotics
5285;Sea Kings Robotics
5291;Emperius
5293;Metal Crusaders
5295;Aldernating Current
5298;E-TECH CHARGERS
5312;Lobotics - Pe\u00f1oles
5314;Ice Bots
5331;Lightning Bots
5338;RoboLoCo
5339;Hurricanes
5347;Gryphons
5348;Charger Robotics
5353;LoCo Raptors
5401;Fightin' Robotic Owls
5402;Wreckless Robotics
5406;Celt-X
5407;Wolfpack Robotics
5408;Kennedy Kinetics
5409;Chargers
5410;Eaglebotics
5411;RoboTalons
5413;Stellar Robotics
5414;Pearadox
5417;Eagle Robotics
5419;Berkelium
5421;BirchBots
5422;Stormgears
5424;Rogue Robots
5427;Steel Talons
5430;Pirate Robolution
5431;Titan Robotics
5434;Falcon Robotics
5436;Cyber Cats
5437;Rocky Balboabots
5438;Technological Terrors
5439;Huskies
5442;Mechanical Monarchy
5443;Les PATenteux
5449;Prototype
5454;Obsidian
5458;Digital Minds
5459;Ipswich TIGERS
5460;Strike Zone
5461;Victorian Engineered Robotic Nation or V.E.R.N.
5462;2Paw Robotics
5464;Bluejacket Robotics
5467;RoboTractors
5468;Chaos Theory
5470;The Cowpunchers
5472;The Wyld Stallyns
5474;Clairemonster
5478;Pershing Doughbots
5484;Career Academy Robotics - Wolf Pack
5486;Robotic Turmoil
5490;The Dark Byte
5491;Hard Reset
5492;Winner's Circle Robo Jockey's
5493;SMAbotics
5494;Bizarbots Robotics
5498;The Wired Devils
5499;Bearium
5500;Jaguars Robotics & ROVs
5503;Smithville Tiger Trons
5504;The Loose Connections
5505;V2 - Volts Squared
5507;Robotic Eagles
5509;Like a Boss
5511;Cortechs Robotics
5514;MavBots
5515;Blue Power Robotics
5516;Iron Maple
5517;The Engineers on Fire
5518;Techno Wolves
5522;Stargazer
5525;Alcona Tool Cats
5526;Type C - Pe\u00f1oles
5527;Cyber Phoenix
5528;Ultime
5530;Greenhills Lawnmowers
5531;Orange Crush
5532;The Panther Bots
5533;Electric Horse Power
5534;Onaway Onabots
5535;Bionic Bison
5538;Vikingbots
5541;Shakopee Sabers
5547;The Talons
5549;Gryphon Robotics
5550;BRONChO BOTS
5553;Robo'Lyon
5554;The Poros Robotics
5557;BB-R8ERS
5559;Gear Grinders
5560;Central Lake Trobotics
5561;Raider Robotics
5563;Phalanx
5567;Code Red Robotics
5572;Rosbots
5576;Team Terminator
5577;Kinematic Wolves
5583;SistamatiK
5584;ICRobotics
5586;Bond Brigade
5587;Titan Robotics
5588;Reign Robotics
5590;Alumiboti
5596;Wolverine Robotics
5603;The WarriorBots
5607;Team Firewall
5608;Lassiter Robotics
5610;Turbulence
5612;Robo-Raptors
5613;ThunderDogs
5614;Team Sycamore
5618;PLS
5623;Robotic Rams
5624;TIGER TECH Robotics
5635;Demacia
5638;JukeBots
5641;Byron Robotics
5642;Mumford Mechanical Mustangs
5648;Melbourne RoboCats 5648
5651;Maynard Jackson RoboJags
5653;Iron Mosquitos
5654;Phoenix
5655;KelRot
5658;STORMBOTICS
5660;Symmetrical Chaos
5665;FENERBAH\u00c7E DOGUS SPARC
5667;The Digital Eagles
5669;Techmen
5672;First Nations-STEM
5674;The Gearhounds
5675;WiredCats
5676;The H.E.R.O.E.S
5682;Equus Engineering
5683;R.A.V.E.N.
5684;Titans of Tech
5687;The Outliers
5689;CK Cyber Pack
5690;SubZero Robotics
5695;Heavy Duty Eagles
5697;Bearcats
5700;SOTA Cyberdragons
5702;Robotowatomi
5704;Weird & Wired
5705;DESERT EAGLES - JOHN DEERE
5706;Tahquamenon Phenomenon
5708;Zebrotics
5712;Hemlock's Gray Matter
5715;DRC
5716;PrepaTec - Keybot
5719;Pink Titans
5720;Jagobotics
5724;Spartan Robotics
5726;RHUMBOTZ
5727;Omegabytes
5728;MC2
5732;ROBOTIGERS
5735;Control Freaks
5736;Kingsmen Robotics
5740;Trojanators
5744;RoboRunners
5746;Human Error
5756;REC'in Crew
5760;The Marinators
5773;YAFL Mechatronics
5788;Eagle Spec Ops
5789;The Other Owls
5790;Proto-Titans
5800;Magic Island Robotics
5801;CTC Inspire
5804;TORCH
5805;SMbly Required
5806;Basement Lions
5809;The Jesubots 5809
5811;BONDS
5813;Morpheus
5816;Gra-V Robotics
5817;Uni-Rex
5822;WolfByte
5823;ACE
5826;Avis Automata
5828;Flying Riots
5829;Awtybots
5830;LIFE Engineering
5835;Sage Hill Robotics
5837;Unity4Tech
5841;The Patriots
5842;Royal Robotics
5843;Flurb
5847;Ironclad
5849;Joker
5851;Striking Vikings
5856;Bullbots
5857;Walnut Valley Robotics
5860;Full Metal Muskrats
5863;Hypercubed
5866;Fe [Iron] Tigers
5869;QHHS Aqueducks
5870;League of Logic
5871;Chickadees
5872;Wiredcats
5874;Prepa Tecmilenio\u00a0BorderBots
5876;ARTEMIS
5878;The Great Lakers
5881;TVHS Dragons
5883;Spice Gears
5885;Villanova WiredCats
5887;PrepaTec IMPERATOR
5889;Commandobots
5892;Energy HEROs
5894;CyberJags
5895;Peddie Robotics
5900;The Fighting Mongooses
5901;BattleCats
5902;The Wire Clippers
5903;ThorBots
5907;CC Shambots
5908;Spartans
5912;Copper Hawks
5913;Patriotics
5914;Robotic Warriors
5919;JoCo RoBos
5920;VIKotics
5923;WildC.A.T.S.
5924;Golden Gate Robotics
5926;Da Moose
5927;Globetrotters
5928;MetalBoost
5929;Raider Robotics
5932;Prepa Tecmilenio - Quetzales
5933;JudgeMent Call Robotics
5934;Crowbotics
5935;Tech Tigers
5937;MI Robotics
5940;BREAD
5941;Cast Iron Orcas
5948;PrepaTec - Lebotics
5951;Makers Assemble
5959;PrepaTec - Titanium Rams
5962;perSEVERE
5965;Power Struck Girls
5968;Little Apple Cyborgs
5970;Beavertronics
5975;Beta Blues
5980;East Grand Rapids Robotics
5982;Merrill's Circuits of Destruction
5985;Project Bucephalus
5986;\u250c Iron Fangs \u2510
5987;Galaxia in memory of David Zohar
5988;Narooma High RoboRebels
5990;TRIGON
5992;Pirates
5993;Istech Robotics Society
5996;R.U.R.
6000;Firehawk Robotics
6002;ZooBOTix
6004;f(x) Robotics
6005;Cardinaltronics
6014;ARC
6016;Tiger Robotics
6017;PrepaTec - Cyberius
6023;DISCBOTS
6024;R Factor
6025;Adroit Androids
6026;Tiger Strike
6029;Railbots
6032;Pirate Robotics
6033;Gadget Agents
6036;Peninsula Robotics
6038;ITOBOT
6044;Circuit Breakers
6045;Sabre Robotics
6047;Proctor Frostbyte
6057;Thunderbots
6059;System Overload Robotics
6060;Circuit Serpents
6064;IstanBULLS
6067;The Underdogs
6068;Delta Overload
6071;The Aluminators
6072;Triton Tech 6072
6073;Cav-Bots
6077;Wiking Kujon
6078;RoboRams
6079;JET SET
6081;Digital Dislocators
6083;Overlooking
6085;Green Devil Bots
6087;Cybertronic Lancers
6088;Stephenson Eagles
6090;Wayland Wildcats
6091;Eagle 1
6094;Manic Mechanics
6096;UPSM Cobrots
6098;bIrobot
6099;Knight Riders
6100;MS Mobots
6101;Strange Quarks
6104;Desert Eagles in memory of Yehonatan Maimon
6106;PrepaTec - TecGear
6107;CyberJagzz
6110;Doc Botics
6112;Cyberstangs
6113;M.A.R.C. 1
6114;Hamilton CyberHawks
6120;CyberStangs
6121;RoboVikes
6122;Potential Energy
6128;M.O.T.O.R (More Than Our Robot)
6132;Iron Rangers
6135;Arctos
6145;War Eagles
6146;Blackjacks
6147;Tonkabots
6152;Robo-Falcons
6153;Blue Crew
6155;ElektraBots
6162;Cap Alpaca
6166;Thorobotics
6167;CB Bearbots
6168;alzahrawi
6170;Prepa Tecmilenio Vitronik
6171;\u269b Chain Reaction \u269b
6175;EVW Mystery Machine
6180;Mechanical Lions
6184;C4 (Capital City Chaotic Coders)
6186;Hope BotCats
6188;Sting Robotics
6190;Cybernetic Crusaders
6191;RoboKryptonite
6199;E-Hawks - Pe\u00f1oles
6200;PrepaTec - XRAMS
6201;The Highlanders
6217;Bomb-Botz
6220;The Golden Griffins
6223;Arsenal of Engineering
6226;Blue Devils
6228;MAT Robotics
6230;Team Koi
6232;Florya Bisons
6237;Martin Motion
6238;Popcorn Penguins
6239;The Irrational Engineers
6240;Eagles of the Knight
6242;Chaos Theory
6243;Energy NERDs
6244;Light SaBres
6300;The Northwoodians
6302;Greeneville High School Robotics
6304;EAGLE
6305;Stable Circuits
6318;FE Freedom Engineers
6322;OneClay ARMORY
6324;The Blue Devils
6326;\u26a1 Baltimore Bolts \u26a1
6328;Mechanical Advantage
6329;The Bucks' Wrath
6333;Scavenger Robotics
6340;The Marist Manatees
6343;Steel Ridge
6344;Yale Jiggawattz
6346;Cybears Robotics Team
6348;PrepaTec - HORUS
6350;Clawbots
6352;LAUNCH TEAM
6353;EFZ Robotics
6357;The Spring Konstant
6358;The Buhlean Operators
6364;Ten Ton
6366;RAM Rodz Robotics
6367;The ElectroLights
6369;Mercenary Robotics
6377;Howdy Bots
6381;Red Raider Robotics
6390;Hephaestus
6391;Ursuline Bearbotics
6394;MITO
6397;Romero Robotics
6399;Tinspiratio
6401;8-bit RAMs
6402;G\u00d6KT\u00dcRKLER
6404;Brazilian Storm
6410;Supreme Eagles
6413;Degrees of Freedom
6414;Voyager
6415;Gultepe Robotics Team 6415
6417;Fridolins
6418;The Missfits
6419;Kernel Chaos
6420;Fire Island Robotics
6421;WarriorBots
6423;Ward Melville Iron Patriots
6424;Stealth Panther Robotics
6428;STEMINEERS
6429;4th Dimension
6430;Kalsedon
6431;NoktaParantez
6432;Valkyries
6433;HZ4Z
6434;Bossley Park High School Wolfgang
6436;NARBULUT PARS ROBOTICS
6443;AEMBOT
6453;Bog Bots!
6455;The Coded Collective
6459;AG Robotik
6463;Robotic Reapers
6465;Mystic Biscuit
6473;Rock Star Robotics
6476;Supernova Star Squad
6479;AZTECH Robotics
6483;Prepa Tecmilenio - CHARGER
6487;Clockwork Knights
6488;RoboRams
6489;Bronco Bolts
6494;Wings of Liberty
6497;Pymble P-Platers
6498;Castle Robotics
6500;GearCats
6502;DARC SIDE
6506;Steel Boot Robotics
6508;Hastings Heroes
6510;Pymble Pride
6515;Unimatics
6517;So-Kno Robo
6526;Cyber Rangers
6527;RamShock
6528;Terror Bytes
6532;TechnoPaths
6533;BeaverTech noducks
6538;Linc-Bots
6548;Perry RAMBOTS
6556;Spartan Robotics 6556
6558;Aluminum Sting
6560;Charging Champions
6566;Battering Rams
6569;Gladiators
6570;Whiteford Bobcats
6574;Ferradermis
6588;Counter-Torque Robotics
6590;SaviTech
6591;Panther Powered Robotics 6591
6593;HyperDrive Robotics
6606;Prepa Tecmilenio Pink Hawks 6606
6608;Prepa Tecmilenio - ARCADIA
6610;Robot Roll Call
6615;Bellevillains
6616;Mechanical Pumas
6618;WARHBOTS
6619;GravitechX
6620;Voltage Vikings
6621;Artemis
6622;Stan Robotix
6628;KMS BOTKICKERS
6632;Northview Robotics
6637;BetaWolves
6639;The Mechanical Minds
6642;Stingers of Steel
6643;Walnuts and Bolts
6645;Alloy Obsession
6647;PrepaTec - VOLTEC
6648;MechaSpartans
6651;Golden Bots
6652;Tigres
6657;Arborbotics
6658;Rockbotics
6662;FalconX
6665;C-Otters
6672;Fusion Corps
6676;Prepa Tecmilenio - Thunder Hawks - 6676
6686;Bionic Broncos
6690;MV roboPride
6691;Torque
6695;GalvaKnights
6696;Cardinal Dynamics
6702;PrepaTec - StingBots
6704;Mid Pacific Owls Robotics
6705;Wildcat5e
6706;Golem
6709;S.P.U.D. INC
6712;Mountaineers
6721;Tindley Trailblazers
6722;LED Robotics
6725;WildBOTS
6729;RobCoBots
6731;Record Robotics
6732;BHS RoboRaiders
6738;Excalibur
6740;G3 - Glue Gun & Glitter
6743;Tiger Engineering
6744;MEHLVILLE RC
6749;tERAbytes
6753;CBA RoboKings
6758;Otternauts
6762;Oscats
6764;Flash Drives
6766;AtomStorm
6768;Denison Robo-Jackets
6772;The Marist Manta Rays
6773;Max Throttle Mavericks
6774;Oh-Kno Robo
6800;Valor
6802;Snot Otters
6805;Quack Attack
6806;Mineola Wild Reds
6808;William Tennent Robotics
6809;Aviators
6814;Ellipse
6817;10 Factorial
6822;THE SHISHKABOTS
6824;LVA Robot Pigeons
6829;Ignite Robotics
6831;A-05 Annex
6832;STEAMex
6833;Python Robotics
6834;Bionic Warriors
6838;X-SHARC
6843;Guardian Gears
6845;River Bots
6854;Viking Robotics
6859;Big Metal Lakers 6859- BML Robotics
6860;Equitum Robotics
6861;The Tyros Team
6863;Squirrels
6864;GryphTech Robotics
6865;Manitoulin Metal
6868;Cadet Robotics
6869;Gladiateurs
6872;Panthera Ferro
6873;The Generals
6874;Mediterra
6875;Amazon Warriors Robotics
6877;Mechanical Mustangs
6880;Universal Serial Brawlers (USB)
6882;Fahrenheit Robotics
6884;Deep-Space Robotics
6885;The Pilots
6887;Dalton Catabots
6888;Foothills Robotics
6894;Iced Java
6895;Mechanical Madness 4-H
6896;CABOTS - Fresnillo PLC - Conalep Caborca
6897;Astraea Robotics
6901;Knights
6902;STRIKE
6904;TeraWatts
6905;Raiders of the ARC- TEAR-A-BYTE
6907;The G.O.A.T
6908;Infuzed
6909;SAKURA Tempesta
6910;Mill Creek Steel Talons
6911;SO BOTZ
6914;Retro5ive
6916;Iron Thunder
6918;Napa Cellar Rats
6919;The Commodores
6921;Technados
6925;W.A.Robotics
6929;Cuivre & Or
6932;SMART
6933;Archytas
6934;Scorps
6936;Vault 6936
6940;Violet Z
6941;IronPulse Robotics
6945;Children of the Corn
6947;Savage Tumaz
6948;EAGLES
6956;SHAM-ROCK-BOTICS \u2618
6961;SIbots
6962;Antares
6963;Blood Sweat and Gears
6964;BearBots (FRC)
6969;Cyborgs6969
6974;Zia Robotics
6975;The Neil McNeil Brotherhood Bots
6978;QuickStrike Niagara
6981;Clockwork Concord
6985;ENKA TECH
6986;PPT Bots
6988;ACI35
6989;KAISER
6995;NOMAD
6996;Koalafied
6998;Unipards
7002;\u98ce\u4e91\u8e66\u8c46
7018;EOLOTICS - Pe\u00f1oles
7019;Rubber Ducks
7028;Binary Battalion
7030;The ROBOlympians
7031;Duanesburg Jr./Sr. High School
7033;Manna Roosters 7033
7034;2B Determined
7035;MEF Thunders
7036;The Beta Bots
7037;Jeunes D'Argent - FresnilloPLC
7038;Totino-Grace Pizza Pi's
7039;\u274c\u2b55
7041;Doomsday Dogs
7042;Poly Rabbotics
7045;MCCrusaders
7048;Red River Rage
7050;SARNIC
7054;SC Sailors
7056;The F.A.S.T. Team - Fowlerville Area Scientific Technicians
7058;StrathDroids
7064;Voltron Robotics
7067;Team Streak
7068;Mechanical Masterminds
7072;O.G.R.E. (Opelika's Greatest Robotics Engineers)
7085;Wired Warriors
7086;IOROBOT
7088;Somerset Robodogs
7091;KnightOwls
7094;Alpha Omega
7102;PrepaTec - Daedalus
7103;Robo Remedy @ Manitowoc Lutheran High School
7104;The Bot Brothers
7109;Clare Chaos Theory
7110;Heights Bytes
7111;RAD Robotics
7112;EverGreen
7113;Control Rising
7115;Red Lion Bots
7117;Robotic Dragons
7119;Sunset RoboBison
7121;Keller Fusion Robotics
7125;Tigerbotics
7127;LongMetal Robotics
7128;XLR8
7130;Future Shock
7135;System Reset
7137;Project 212
7138;Wing It
7145;RoboHawks
7147;Rising Falcons
7153;Aetos Dios (Eagles of Zeus)
7155;The Robotic Rangers
7157;\u03bcBotics
7160;Ludington O-Bots
7163;A.I. Metal Pies
7165;Perkins Pirates
7166;Red Thunder Robotics
7174;Charger Robotics
7177;Turismo
7178;Yeti
7183;W.A.R.
7188;SaddleBots
7190;Vancouver Rainstorms
7195;Twin River Robotics
7196;Tech Tigers
7197;Mountie Megabots
7198;Fearsome Gears
7200;Banting Robotics
7201;Crobotics
7202;Cyber Orioles
7203;Cyber Bearcats
7210;RoboJackets  7210
7211;Hollywood
7220;Steel Falcons
7221;Viking Robotics
7225;Mechatronic Mustangs
7226;Error 404
7230;Mythic Mechanix
7235;Red Lake Ogichidaag
7245;LionBot Robotics
7247;Magical Smurfs
7248;Tactical Hams
7250;OsCODEa 0w|5
7255;Mechanical Mettle
7256;Irish Robotics
7257;Semiconductors
7271;Hangar 84
7272;Envirobots
7273;ZooM 7273
7274;Brashear Bulls Robotics
7287;Esquimalt Atom Smashers
7288;NOMMA D3V1LB0TS
7289;Blue Eagles
7296;TeRoBoT
7298;TOROS
7312;T3
7314;Tornadoes
7318;Nanuet Knightronz
7323;TriTron
7327;Metal Jackets
7332;Vancouver Puddle Jumpers
7333;Ghost
7334;Esquimalt Proton Pulverizers
7403;Lightning Blue Lizards
7407;Wired Boars
7413;Plus Ultra
7414;Retrobotics
7415;Jaguar Robotics Sponsored By Feit Electric
7417;Bionic Bombers
7419;TECH Support
7421;PrepaTec - OVERTURE
7425;Green Valley Robotics
7426;PAIR OF DICE ROBOTICS
7428;Gigawatts
7431;Wingspan
7433;Iona Fusion
7436;8-Bit Miners
7439;Qubit Robotics
7443;Jag-Wires
7444;MOON STAR ROBOTICS
7447;R\u014dnin Robotics
7451;AvengerRobotics
7452;Dupo Tigers
7457;suPURDUEper Robotics
7459;Taubatexas Robotics
7461;Sushi Squad
7466;Cymurghs
7471;Robo Montagnards
7472;R2JESU Robotics
7474;JXN United
7476;Spongebotics
7477;Giddy GOATS
7479;Cardinal Robotics
7480;Machine Mavericks
7483;Mechanically Challenged
7485;Mo Co Robo
7491;Cyber Soldiers
7492;Turbo Torque
7496;Robo Indians
7497;MARAHO
7500;MARAUDERS
7501;Golden Gears
7503;Radicubs
7504;CyBearBots
7506;WILDCARDS
7514;EVE Robotics
7515;Dark Side Robotics
7516;Louisville Centrons
7520;Team MineKee
7521;ULTIMATE Robotics
7525;Pioneers
7528;Nuts and Bolts
7530;Raiders of the Lost Spark
7531;Servos Strike Back
7534;Dragonflies
7536;ANKA ROBOTICS
7538;Metal Mountain
7539;Elev8
7540;Timberwolf Robotics
7541;Maple River
7546;Prepa Tec - MinerZ
7551;Extreme Mechanism
7553;OSTC -  SWEET BOTS
7558;ALT-F4
7563;SESI SENAI MEGAZORD
7565;SESI SENAI ROBON\u00c1TICOS
7567;SESI SENAI OCTOPUS
7570;New Tech
7576;FMWill
7577;VELABOTS - Pe\u00f1oles
7578;Quantum Mechanics
7583;Embers
7587;Metuchen Momentum
7589;Lishan Blue Magpie
7594;Nautilus
7597;Team HorsePowered
7598;SCA Constellations
7601;Shenzhen Unity Stallion
7603;7603 VESPA ROBOTICS
7605;ASTRO
7607;The Blackbirds
